mol,cs,logPa,T,dHv,logPa_25
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.06182930729469903,350.15,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.22711508258912522,354.37,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.40602894496361513,358.62,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.5825178836040624,363.06,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.705007959333336,366.15,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.8145139523682382,369.23,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.9203842421783575,372.15,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,0.05690485133647256,350.0,,
Clc1ccc(cc1)\C=C(\n1ncnc1)/[C@@H](O)C(C)(C)C,CC(C)(C)[C@H](O)/C(=C\c1ccc(Cl)cc1)n1cncn1,-2.050609993355087,293.15,,
Clc1ccc(cc1)\C=C(\n1ncnc1)/[C@@H](O)C(C)(C)C,CC(C)(C)[C@H](O)/C(=C\c1ccc(Cl)cc1)n1cncn1,-2.2800000000000002,298.15,,
c1ccccc1C(C)C,CC(C)c1ccccc1,2.7928215239849905,298.15,44393.39741936098,2.7928215239849905
c1ccccc1C(C)C,CC(C)c1ccccc1,2.785,298.15,44393.39741936098,2.785
c1ccccc1C(C)C,CC(C)c1ccccc1,2.834,298.15,44393.39741936098,2.834
c1ccccc1C(C)C,CC(C)c1ccccc1,1.758370275587947,264.95,44393.39741936098,2.732928716727202
c1ccccc1C(C)C,CC(C)c1ccccc1,2.0933847685622955,274.45,44393.39741936098,2.76499737359957
c1ccccc1C(C)C,CC(C)c1ccccc1,2.477084338119723,276.84999999999997,44393.39741936098,3.0754529488752667
c1ccccc1C(C)C,CC(C)c1ccccc1,2.7876596516899346,298.15,44393.39741936098,2.7876596516899346
c1ccccc1C(C)C,CC(C)c1ccccc1,2.786041210242554,298.15,44393.39741936098,2.786041210242554
c1ccccc1C(C)C,CC(C)c1ccccc1,5.017046530709807,426.54999999999995,44393.39741936098,2.67589887693596
c1ccccc1C(C)C,CC(C)c1ccccc1,5.0105739469094805,425.96999999999997,44393.39741936098,2.6768282674663135
c1ccccc1C(C)C,CC(C)c1ccccc1,5.003159281826247,425.31999999999994,44393.39741936098,2.6777329080011967
c1ccccc1C(C)C,CC(C)c1ccccc1,4.996673178127597,424.74,44393.39741936098,2.6786916819877415
c1ccccc1C(C)C,CC(C)c1ccccc1,4.989667944506979,424.12,44393.39741936098,2.6796672830600614
c1ccccc1C(C)C,CC(C)c1ccccc1,4.922992838700286,418.34,44393.39741936098,2.688532395446106
c1ccccc1C(C)C,CC(C)c1ccccc1,4.824765550754623,410.15999999999997,44393.39741936098,2.700850118815301
c1ccccc1C(C)C,CC(C)c1ccccc1,4.729980499867276,402.61,44393.39741936098,2.7120825854879165
c1ccccc1C(C)C,CC(C)c1ccccc1,4.637119125241984,395.53,44393.39741936098,2.722316260498249
c1ccccc1C(C)C,CC(C)c1ccccc1,4.543169957812162,388.66999999999996,44393.39741936098,2.731841324045694
c1ccccc1C(C)C,CC(C)c1ccccc1,4.462101425381942,382.96999999999997,44393.39741936098,2.739569654304328
c1ccccc1C(C)C,CC(C)c1ccccc1,4.370636513464946,376.78999999999996,44393.39741936098,2.7474147221748035
c1ccccc1C(C)C,CC(C)c1ccccc1,4.299862442946386,372.15,44393.39741936098,2.7533713463950393
c1ccccc1C(C)C,CC(C)c1ccccc1,4.221046801302705,367.15999999999997,44393.39741936098,2.759238600895743
c1ccccc1C(C)C,CC(C)c1ccccc1,4.14122467402215,362.91999999999996,44393.39741936098,2.7532014826018396
c1ccccc1C(C)C,CC(C)c1ccccc1,4.068989499423795,357.96999999999997,44393.39741936098,2.7693182716593387
c1ccccc1C(C)C,CC(C)c1ccccc1,4.01414748090134,354.78999999999996,44393.39741936098,2.772536337043081
c1ccccc1C(C)C,CC(C)c1ccccc1,3.9538837740162833,351.38,44393.39741936098,2.7756996799505798
c1ccccc1C(C)C,CC(C)c1ccccc1,3.886077633164092,347.62,44393.39741936098,2.779273218416357
c1ccccc1C(C)C,CC(C)c1ccccc1,3.806233525977526,343.30999999999995,44393.39741936098,2.7831732850549216
c1ccccc1C(C)C,CC(C)c1ccccc1,2.7757166124137305,298.15,44393.39741936098,2.7757166124137305
c1ccccc1C(C)C,CC(C)c1ccccc1,2.779078361886321,298.15,44393.39741936098,2.779078361886321
CC(C)NC(=O)N,CC(C)NC(N)=O,-0.6497519816658371,333.16,,
CC(C)NC(=O)N,CC(C)NC(N)=O,-0.46054750845053916,338.1,,
CC(C)NC(=O)N,CC(C)NC(N)=O,-0.26776711977950224,341.9,,
CC(C)NC(=O)N,CC(C)NC(N)=O,-0.08259953204474937,345.85,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.06220580881971259,349.76,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.24526583945746125,354.18,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.4044916177586859,357.95,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.5597869682005565,362.01,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.7013952690139201,365.85,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.8541237821011671,370.13,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.9171377527564443,372.07,,
CC(C)NC(=O)N,CC(C)NC(N)=O,0.07188200730612536,350.0,,
CCC(C)c1ccccc1,CCC(C)c1ccccc1,1.1249018200083605,264.54999999999995,48947.51381502727,2.2140262355832925
CCC(C)c1ccccc1,CCC(C)c1ccccc1,1.3801743251116665,270.15,48947.51381502727,2.268964084320587
CCC(C)c1ccccc1,CCC(C)c1ccccc1,1.6300517983282665,275.75,48947.51381502727,2.3266437938322797
CCC(C)c1ccccc1,CCC(C)c1ccccc1,1.8491776896091496,282.95,48947.51381502727,2.3098370201880507
CCC(C)c1ccccc1,CCC(C)c1ccccc1,2.3820170425748683,298.15,48947.51381502727,2.3820170425748683
CCC(C)c1ccccc1,CCC(C)c1ccccc1,2.3629479231371557,298.15,48947.51381502727,2.3629479231371557
CC(CC)NC(=O)N,CCC(C)NC(N)=O,-0.916139199133427,338.22,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,-0.6876110506294081,343.22,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,-0.4631891340084585,348.16,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,-0.35027581407047764,350.72,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,-0.23165794135546666,353.24,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,-0.009527946474380608,358.43,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,0.12024479554636527,361.54,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,0.2692793897718986,364.95,,
