ikey,raw_mean,raw_median,n_obs,homoset_Ladaptive_t2.0,homoset_Ladaptive_t1.0,homoset_Lfixed_t2.0,homoset_Lfixed_t1.0,conflict,n_sources,n_accepted_sources,fell_back_raw,mixle_gauss,mixle_gauss_sd,mixle_robust,mixle_robust_sd,min_obs_weight
PBKONEOXTCPAFI-UHFFFAOYSA-N,-1.1617969628575782,-1.299117428678896,31,-1.3216233246566984,-1.3216233246566984,-1.12,-1.12,True,4,4,False,-1.4564860337221168,0.16070337086036515,-1.3902880412120984,0.06084573825776585,0.06488818935122662
PCCSBWNGDMYFCW-UHFFFAOYSA-N,-7.67691376826134,-7.67691376826134,1,-7.679419210475722,-7.679419210475722,-7.67691376826134,-7.67691376826134,False,1,1,False,-7.75765335339014,1.064785492392406,-7.748407349475367,0.34290471712879544,1.0
PECXRRMHOQBOIE-UHFFFAOYSA-N,-2.0385517088344502,-2.0385517088344502,1,-2.240054159845318,-2.240054159845318,-2.0385517088344502,-2.0385517088344502,False,1,1,False,-3.854805126702767,2.338096976739336,-2.781809884832505,1.1517855123857068,1.0
PEDCQBHIVMGVHV-UHFFFAOYSA-N,-9.334371096992868,-9.216061185468453,7,-9.216061185468453,-9.216061185468453,-9.218030592734227,-9.218030592734227,True,5,5,False,-9.212329224551727,0.15061781193178428,-9.21744902202095,0.01414193364077205,0.5413683337077225
PETRWTHZSKVLRE-UHFFFAOYSA-N,-5.817679315804053,-5.8181044520542615,3,-5.820609894268644,-5.820609894268644,-5.8181044520542615,-5.8181044520542615,False,1,1,False,-6.085014270823275,0.6298990525251833,-5.906576499238463,0.19839755477877638,1.0
PFCHFHIRKBAQGU-UHFFFAOYSA-N,-2.2362780373863584,-1.7627729557416316,8,-1.7652783979560143,-1.7652783979560143,-1.7627729557416316,-1.7627729557416316,False,1,1,False,-2.555668066068703,0.38877461899085475,-2.0324624875694606,0.1474998765124436,0.36976958933205334
PFDCOZXELJAUTR-UHFFFAOYSA-N,-6.87801739606374,-6.87801739606374,2,-6.980021342676365,-6.980021342676365,-6.87801739606374,-6.87801739606374,False,2,2,False,-7.08220970752336,0.9989588786409557,-6.911217042300946,0.3305449969885892,1.0
PFEOZHBOMNWTJB-UHFFFAOYSA-N,2.507203705877016,2.51,15,2.5095602294455066,2.5095602294455066,2.51,2.51,False,4,4,False,2.488408434911618,0.10739132594576824,2.5094719441496096,0.00941065886316997,1.0
PFIADAMVCJPXSF-UHFFFAOYSA-N,-3.2297659250199913,-3.2297659250199913,1,-3.431268376030859,-3.431268376030859,-3.2297659250199913,-3.2297659250199913,False,1,1,False,-4.636708077071208,2.338096976739336,-3.884829051578046,1.1503431958615018,1.0
PFJJMJDEVDLPNE-UHFFFAOYSA-N,-1.343693246131516,-1.343693246131516,2,-1.445697192744141,-1.445697192744141,-1.343693246131516,-1.343693246131516,True,2,2,False,-6.172014437305966,0.9989588786409557,-7.404093807218757,0.3433526227427244,0.06394544269074268
PFNHSEQQEPMLNI-UHFFFAOYSA-N,-3.9274033647041406,-3.93,3,-3.93,-3.93,-3.93,-3.93,False,2,2,False,-4.000540634269867,0.36036499520505166,-3.9310431907009282,0.028108298412538712,1.0
PGIBJVOPLXHHGS-UHFFFAOYSA-N,-6.715315896628453,-6.715315896628453,1,-6.91681834763932,-6.91681834763932,-6.715315896628453,-6.715315896628453,False,1,1,False,-6.924593639068891,2.338096976739336,-7.112633943471022,1.1527717266480397,1.0
PGMYKACGEOXYJE-UHFFFAOYSA-N,-1.9816631323390164,-2.454131169439,17,-2.454588910133843,-2.454588910133843,-2.4522944550669217,-2.4522944550669217,True,5,5,False,-2.4720573487724917,0.10508309908131439,-2.461386878422022,0.010510002168588222,0.31719469407113565
PGMZYNZXIYOOHJ-UHFFFAOYSA-N,-5.570761593359007,-5.570761593359007,1,-5.772264044369875,-5.772264044369875,-5.570761593359007,-5.570761593359007,False,1,1,False,-6.173317861443451,2.338096976739336,-6.053159630638633,1.1508764805849951,1.0
PGPNJCAMHOJTEF-UHFFFAOYSA-N,-3.027605501639645,-2.9703910711976875,3,-3.1718935222085554,-3.1718935222085554,-2.9703910711976875,-2.9703910711976875,False,2,2,False,-3.4645421192788164,0.7409958743451516,-3.1769781095746272,0.2511975265586347,1.0
PHNUZKMIPFFYSO-UHFFFAOYSA-N,-7.140582762004556,-7.140582762004556,2,-7.242586708617182,-7.242586708617182,-7.140582762004556,-7.140582762004556,True,2,2,False,-8.502831349167668,0.9989588786409557,-8.679579401767041,0.3409505514589233,0.6570103192600661
PHSJJYZIFPWCLZ-UHFFFAOYSA-N,-2.529680569604813,-2.529680569604813,1,-2.7311830206156804,-2.7311830206156804,-2.529680569604813,-2.529680569604813,False,1,1,False,-4.177177962780157,2.338096976739336,-3.2364942617666013,1.151049251324132,1.0
PHSUVQBHRAWOQD-UHFFFAOYSA-N,-3.3400681381858246,-3.3400681381858246,1,-3.5415705891966924,-3.5415705891966924,-3.3400681381858246,-3.3400681381858246,False,1,1,False,-4.70910951816776,2.338096976739336,-3.986992895333403,1.150268465905268,1.0
PHTQWCKDNZKARW-UHFFFAOYSA-N,-4.25161848743884,-4.42,11,-4.421606118546845,-4.421606118546845,-4.42,-4.42,True,4,4,False,-4.031426832506084,0.11698374405309186,-4.42678310618536,0.01164715751657186,0.0013587903395176249
PHVNLLCAQHGNKU-UHFFFAOYSA-N,-12.083964281950216,-12.083964281950216,2,-12.185968228562842,-12.185968228562842,-12.083964281950216,-12.083964281950216,False,2,2,False,-12.188817696286597,0.9989588786409557,-12.362413389009244,0.3300025413935962,1.0
PIICEJLVQHRZGT-UHFFFAOYSA-N,-8.941059279744785,-9.735,8,-9.735,-9.735,-7.6,-7.6,True,4,4,False,-8.427086175134248,0.12882303702126682,-7.599584890230737,0.01634201548434496,0.0010803137326428373
PIIZYNQECPTVEO-UHFFFAOYSA-N,-8.285497761645894,-8.285497761645894,2,-8.288003203860278,-8.288003203860278,-8.285497761645894,-8.285497761645894,False,1,1,False,-8.447626961594244,0.7667002409729788,-8.364981670389362,0.24281817415550716,1.0
PIORTDHJOLELKR-UHFFFAOYSA-N,-2.5436892841934418,-2.5436892841934418,2,-2.645693230806067,-2.645693230806067,-2.5436892841934418,-2.5436892841934418,False,2,2,False,-3.0861522638181214,0.9989588786409557,-2.6851948769942497,0.3304711135992138,1.0
PITWUHDDNUVBPT-UHFFFAOYSA-N,-0.1159105556037118,-0.1159105556037118,1,-0.3174130066145794,-0.3174130066145794,-0.1159105556037118,-0.1159105556037118,False,1,1,False,-2.592799712576027,2.338096976739336,-1.0037512270005702,1.1566406220096561,1.0
PIVBPZFQXKMHBD-UHFFFAOYSA-N,-3.563923792764928,-3.563923792764928,1,-3.5664292349793105,-3.5664292349793105,-3.563923792764928,-3.563923792764928,False,1,1,False,-3.937766666638128,1.064785492392406,-3.6623536773259295,0.3428028505475826,1.0
PIWKPBJCKXDKJR-UHFFFAOYSA-N,0.05383448022537461,0.1,8,0.1,0.1,0.11,0.11,False,4,4,False,0.08560886694097675,0.14033249620375496,0.10562127496720933,0.01266960191433495,1.0
PJANXHGTPQOBST-VAWYXSNFSA-N,-1.0773242027743062,-1.0773242027743062,2,-1.1793281493869314,-1.1793281493869314,-1.0773242027743062,-1.0773242027743062,False,2,2,False,-2.4166869847356565,0.9989588786409557,-2.103393436934814,0.3339006287057758,0.9663820419704078
