ikey,dHvap_kJmol
CHVJITGCYZJHLR-UHFFFAOYSA-N,37.41363436473651
CIARXPIAQOCSCO-UHFFFAOYSA-N,50.70000000000001
CITMYAPULDSOHG-UHFFFAOYSA-N,49.1
CIYGMWIAXRMHQS-UHFFFAOYSA-N,63.499999999999986
CJFVCTVYZFTORU-UHFFFAOYSA-N,35.099999999999994
CJPNOLIZCWDHJK-UHFFFAOYSA-N,90.77529093515255
CJYXCQLOZNIMFP-UHFFFAOYSA-N,77.90000000000002
CKAPSXZOOQJIBF-UHFFFAOYSA-N,75.59999999999997
CKDDRHZIAZRDBW-UHFFFAOYSA-N,182.57549383287545
CKENDVLIAVMNDW-UHFFFAOYSA-N,80.09396101533163
CKMXAIVXVKGGFM-UHFFFAOYSA-N,79.13889912053676
CKQGCFFDQIFZFA-UHFFFAOYSA-N,87.5157687425152
CKVJSNYSBIZAAE-UHFFFAOYSA-N,54.39999999999999
CLDYDTBRUJPBGU-UHFFFAOYSA-N,38.69082287258743
CLPHAYNBNTVRDI-UHFFFAOYSA-N,65.80000000000003
CLQXZICUPGZTPE-UHFFFAOYSA-N,62.2
CLSHQIDDCJTHAJ-UHFFFAOYSA-N,60.50000000000002
CLZCPQKGOAXOJT-UHFFFAOYSA-N,41.7
CMKBCTPCXZNQKX-UHFFFAOYSA-N,44.79999999999999
CMLYGGFIXXLYQT-UHFFFAOYSA-N,60.348085174175175
CMNMHJVRZHGAAK-UHFFFAOYSA-N,83.33111995756721
CMWLZVMFIMYXKI-UHFFFAOYSA-N,106.19999999999996
CMWSRWTXVQLHNX-UHFFFAOYSA-N,48.60000000000001
CMWTZPSULFXXJA-UHFFFAOYSA-N,131.70000000000005
CNDHHGUSRIZDSL-UHFFFAOYSA-N,51.899999999999984
CNMFHDIDIMZHKY-UHFFFAOYSA-N,38.63519114063354
CNNJBYUJTYGLGG-UHFFFAOYSA-N,26.16110823617637
CNNRPFQICPFDPO-UHFFFAOYSA-N,186.5477798626038
CNPVJWYWYZMPDS-UHFFFAOYSA-N,55.91976860328464
CNRFMWHVBWFZAC-UHFFFAOYSA-N,28.912774920855636
CNUDBTRUORMMPA-UHFFFAOYSA-N,54.899999999999984
CNULMYGHHREGAN-UHFFFAOYSA-N,76.88834919961292
CNVZJPUDSLNTQU-UHFFFAOYSA-N,143.38909046404635
CPHFUGPCSJJMOI-UHFFFAOYSA-N,33.73121764194308
CPJRRXSHAYUTGL-UHFFFAOYSA-N,51.21663406390547
CPJSUEIXXCENMM-UHFFFAOYSA-N,94.79999999999995
CPLJMYOQYRCCBY-UHFFFAOYSA-N,40.391801193027455
CPLSOYONVLSMGL-UHFFFAOYSA-N,26.716979355972096
CPULIKNSOUFMPL-UHFFFAOYSA-N,45.63630485417803
CQEYYJKEWSMYFG-UHFFFAOYSA-N,47.29999999999999
